temps,ACTU,MILIEU,LASER,LASER_ESTIME,TENSION_ACTU,TENSION_MILIEU,TENSION_LASER,DUTY CYCLE,STABILITE
264.0,21.136,21.688,22.001,22.044,2.714,2.683,2.666,831.0,1.0
266.0,21.115,21.667,22.001,22.048,2.715,2.684,2.666,837.0,1.0
268.0,21.115,21.6,22.001,22.046,2.715,2.688,2.666,854.0,1.0
270.0,21.027,21.642,22.022,22.047,2.72,2.686,2.664,843.0,1.0
272.0,21.073,21.621,22.11,22.047,2.717,2.687,2.66,849.0,1.0
274.0,21.094,21.554,22.043,22.041,2.716,2.69,2.663,866.0,1.0
276.0,21.073,21.575,22.085,22.037,2.717,2.689,2.661,860.0,1.0
278.0,21.052,21.663,21.955,22.041,2.718,2.684,2.668,837.0,1.0
280.0,21.052,21.6,22.022,22.04,2.718,2.688,2.664,854.0,1.0
282.0,21.073,21.642,22.043,22.042,2.717,2.686,2.663,842.0,1.0
284.0,21.052,21.6,22.001,22.04,2.718,2.688,2.666,853.0,1.0
286.0,21.006,21.642,22.001,22.042,2.721,2.686,2.666,842.0,1.0
288.0,20.985,21.6,22.089,22.04,2.722,2.688,2.661,853.0,1.0
290.0,21.094,21.554,22.022,22.035,2.716,2.69,2.664,865.0,1.0
292.0,21.115,21.663,22.064,22.039,2.715,2.684,2.662,836.0,1.0
294.0,21.073,21.6,21.913,22.038,2.717,2.688,2.67,853.0,1.0
296.0,21.094,21.621,22.043,22.038,2.716,2.687,2.663,847.0,1.0
298.0,21.073,21.6,22.022,22.037,2.717,2.688,2.664,853.0,1.0
300.0,21.006,21.621,22.022,22.038,2.721,2.687,2.664,847.0,1.0
302.0,21.027,21.621,22.089,22.038,2.72,2.687,2.661,847.0,1.0
304.0,21.094,21.533,22.001,22.031,2.716,2.692,2.666,870.0,1.0
306.0,21.136,21.663,21.955,22.036,2.714,2.684,2.668,836.0,1.0
308.0,21.16,21.6,21.98,22.035,2.712,2.688,2.667,852.0,1.0
310.0,21.094,21.621,21.913,22.036,2.716,2.687,2.67,847.0,1.0
312.0,21.073,21.688,22.001,22.042,2.717,2.683,2.666,829.0,1.0
314.0,21.139,21.667,21.959,22.046,2.714,2.684,2.668,835.0,1.0
316.0,21.052,21.579,22.068,22.042,2.718,2.689,2.662,858.0,1.0
318.0,21.006,21.642,22.089,22.044,2.721,2.686,2.661,841.0,1.0
320.0,21.052,21.6,21.959,22.042,2.718,2.688,2.668,852.0,1.0
322.0,21.052,21.533,21.959,22.035,2.718,2.692,2.668,870.0,1.0
324.0,21.073,21.575,22.001,22.032,2.717,2.689,2.666,858.0,1.0
326.0,21.052,21.533,21.913,22.025,2.718,2.692,2.67,869.0,1.0
328.0,21.115,21.642,21.913,22.029,2.715,2.686,2.67,840.0,1.0
330.0,21.094,21.579,21.916,22.027,2.716,2.689,2.67,857.0,1.0
332.0,21.048,21.621,22.047,22.028,2.719,2.687,2.663,846.0,1.0
334.0,21.027,21.6,22.025,22.028,2.72,2.688,2.664,851.0,1.0
336.0,21.006,21.533,21.959,22.022,2.721,2.692,2.668,869.0,1.0
338.0,21.136,21.575,21.892,22.02,2.714,2.689,2.672,857.0,1.0
340.0,21.115,21.642,21.98,22.024,2.715,2.686,2.667,840.0,1.0
342.0,21.115,21.621,21.849,22.026,2.715,2.687,2.674,846.0,1.0
344.0,21.115,21.621,21.959,22.028,2.715,2.687,2.668,846.0,1.0
346.0,21.006,21.621,21.959,22.029,2.721,2.687,2.668,846.0,1.0
348.0,21.006,21.621,21.959,22.031,2.721,2.687,2.668,846.0,1.0
350.0,21.073,21.621,21.959,22.032,2.717,2.687,2.668,846.0,1.0
352.0,21.073,21.512,21.937,22.024,2.717,2.693,2.669,874.0,1.0
354.0,21.115,21.554,22.022,22.02,2.715,2.69,2.664,863.0,1.0
356.0,21.094,21.621,21.913,22.022,2.716,2.687,2.67,845.0,1.0
358.0,21.115,21.579,21.871,22.021,2.715,2.689,2.673,856.0,1.0
360.0,21.027,21.579,21.98,22.019,2.72,2.689,2.667,856.0,1.0
362.0,21.136,21.667,22.068,22.025,2.714,2.684,2.662,833.0,1.0
364.0,21.094,21.645,21.937,22.029,2.716,2.685,2.669,839.0,1.0
366.0,21.094,21.579,22.025,22.027,2.716,2.689,2.664,856.0,1.0
368.0,21.073,21.491,21.98,22.017,2.717,2.694,2.667,1670.0,0.0
