temps,ACTU,MILIEU,LASER,LASER_ESTIME,TENSION_ACTU,TENSION_MILIEU,TENSION_LASER,DUTY CYCLE,STABILITE
2.0,24.053,23.947,23.858,23.953,2.552,2.558,2.563,980.0,0.0
4.0,23.777,23.968,23.901,23.954,2.567,2.557,2.56,980.0,0.0
6.0,23.731,23.947,23.968,23.954,2.57,2.558,2.557,980.0,0.0
8.0,23.816,23.816,23.968,23.942,2.565,2.565,2.557,980.0,0.0
10.0,23.858,23.816,23.947,23.931,2.563,2.565,2.558,980.0,0.0
12.0,23.901,23.816,23.947,23.922,2.56,2.565,2.558,980.0,0.0
14.0,24.032,23.795,23.858,23.911,2.553,2.566,2.563,980.0,0.0
16.0,24.053,23.795,23.858,23.902,2.552,2.566,2.563,1670.0,0.0
18.0,24.238,24.007,24.004,23.912,2.542,2.555,2.555,1670.0,0.0
20.0,25.032,23.965,24.007,23.917,2.498,2.557,2.555,1670.0,0.0
22.0,26.256,24.011,23.965,23.925,2.431,2.554,2.557,1670.0,0.0
24.0,27.47,24.075,24.011,23.938,2.366,2.551,2.554,1670.0,0.0
26.0,28.475,24.156,23.986,23.957,2.312,2.546,2.556,1670.0,0.0
28.0,29.357,24.391,23.94,23.994,2.265,2.533,2.558,1670.0,0.0
30.0,30.158,24.537,24.004,24.039,2.223,2.525,2.555,1670.0,0.0
32.0,30.852,24.882,24.046,24.11,2.186,2.506,2.552,1670.0,0.0
34.0,31.39,25.139,24.199,24.195,2.158,2.492,2.544,1670.0,0.0
36.0,31.98,25.328,24.195,24.289,2.128,2.482,2.544,1670.0,0.0
38.0,32.506,25.607,24.259,24.397,2.101,2.467,2.541,1670.0,0.0
40.0,32.989,25.908,24.387,24.52,2.076,2.45,2.534,1670.0,0.0
42.0,33.428,26.188,24.515,24.654,2.054,2.435,2.527,1670.0,0.0
44.0,33.894,26.469,24.643,24.8,2.03,2.42,2.52,1670.0,0.0
46.0,34.268,26.66,24.814,24.947,2.012,2.41,2.51,1670.0,0.0
48.0,34.546,26.919,24.964,25.103,1.998,2.395,2.502,1670.0,0.0
50.0,34.924,27.27,25.114,25.273,1.979,2.376,2.494,1670.0,0.0
52.0,35.356,27.644,25.307,25.458,1.958,2.356,2.483,1602.0,0.0
54.0,35.559,27.83,25.382,25.641,1.948,2.346,2.479,1569.0,0.0
56.0,35.99,28.088,25.596,25.828,1.927,2.332,2.467,1517.0,0.0
58.0,36.083,28.326,25.786,26.017,1.922,2.32,2.457,1471.0,0.0
60.0,36.103,28.585,25.976,26.21,1.921,2.306,2.447,1419.0,0.0
62.0,36.03,28.78,26.21,26.4,1.925,2.296,2.434,1383.0,0.0
64.0,35.806,28.952,26.31,26.587,1.936,2.286,2.428,1353.0,0.0
66.0,35.611,29.217,26.57,26.778,1.945,2.272,2.414,1298.0,0.0
68.0,35.392,29.321,26.782,26.959,1.956,2.267,2.403,1285.0,0.0
70.0,35.102,29.542,27.021,27.141,1.97,2.255,2.39,1241.0,0.0
72.0,34.814,29.649,27.212,27.315,1.984,2.249,2.38,1226.0,0.0
74.0,34.554,29.712,27.318,27.477,1.997,2.246,2.374,1222.0,0.0
76.0,34.249,29.823,27.513,27.633,2.013,2.24,2.363,1205.0,0.0
78.0,33.991,29.935,27.666,27.783,2.026,2.234,2.355,1187.0,0.0
80.0,33.661,29.953,27.771,27.92,2.042,2.233,2.349,1193.0,0.0
82.0,33.595,30.046,27.902,28.051,2.045,2.228,2.342,1178.0,0.0
84.0,33.382,30.135,28.168,28.178,2.056,2.224,2.328,1164.0,0.0
86.0,33.197,30.065,28.209,28.286,2.066,2.227,2.326,1191.0,0.0
88.0,32.92,29.976,28.366,28.376,2.08,2.232,2.318,1222.0,0.0
90.0,32.785,29.979,28.479,28.457,2.087,2.232,2.312,1228.0,0.0
92.0,32.67,29.979,28.589,28.531,2.092,2.232,2.306,1234.0,0.0
94.0,32.697,29.957,28.585,28.595,2.091,2.233,2.306,1246.0,0.0
96.0,32.605,29.983,28.651,28.656,2.096,2.232,2.302,1245.0,0.0
98.0,32.582,30.076,28.831,28.718,2.097,2.227,2.293,1225.0,0.0
100.0,32.533,29.957,28.827,28.764,2.099,2.233,2.293,1261.0,0.0
102.0,32.559,29.983,28.853,28.808,2.098,2.232,2.292,1259.0,0.0
104.0,32.464,30.028,29.011,28.852,2.103,2.229,2.283,1251.0,0.0
106.0,32.605,29.935,28.985,28.883,2.096,2.234,2.285,1279.0,0.0
108.0,32.655,30.005,28.963,28.917,2.093,2.231,2.286,1264.0,0.0
110.0,32.793,30.05,29.052,28.952,2.086,2.228,2.281,1256.0,0.0
112.0,32.885,30.094,29.096,28.987,2.081,2.226,2.279,1247.0,0.0
114.0,32.716,30.117,29.184,29.021,2.09,2.225,2.274,1245.0,0.0
116.0,32.67,30.117,29.184,29.051,2.092,2.225,2.274,1248.0,0.0
118.0,32.624,30.161,29.206,29.082,2.095,2.222,2.273,1239.0,0.0
120.0,32.624,30.091,29.25,29.104,2.095,2.226,2.27,1261.0,0.0
122.0,32.77,30.161,29.206,29.13,2.087,2.222,2.273,1245.0,0.0
124.0,32.743,30.228,29.18,29.159,2.089,2.219,2.274,1230.0,0.0
126.0,32.789,30.18,29.203,29.182,2.086,2.221,2.273,1245.0,0.0
128.0,32.647,30.18,29.225,29.202,2.094,2.221,2.272,1247.0,0.0
130.0,32.743,30.273,29.339,29.228,2.089,2.217,2.266,1225.0,0.0
132.0,32.693,30.247,29.405,29.249,2.091,2.218,2.262,1235.0,0.0
134.0,32.67,30.363,29.405,29.278,2.092,2.212,2.262,1207.0,0.0
136.0,32.689,30.288,29.402,29.298,2.091,2.216,2.262,1229.0,0.0
138.0,32.693,30.359,29.38,29.322,2.091,2.212,2.264,1212.0,0.0
