temps,COMMANDE,ACTU,MILIEU,LASER,LASER_ESTIME,STABILITE
220.0,1247.0,32.858,30.493,29.402,29.432,0.0
222.0,1236.0,32.808,30.538,29.354,29.446,0.0
224.0,1238.0,32.735,30.538,29.376,29.459,0.0
226.0,1234.0,32.808,30.56,29.468,29.473,0.0
228.0,1241.0,32.762,30.538,29.468,29.483,0.0
230.0,1243.0,32.62,30.538,29.468,29.492,0.0
232.0,1262.0,32.62,30.467,29.468,29.494,0.0
234.0,1239.0,32.716,30.56,29.446,29.505,0.0
236.0,1235.0,32.762,30.583,29.42,29.516,0.0
238.0,1230.0,32.762,30.605,29.442,29.527,0.0
240.0,1238.0,32.762,30.583,29.464,29.536,0.0
242.0,1245.0,32.62,30.56,29.535,29.542,0.0
244.0,1270.0,32.575,30.467,29.535,29.54,0.0
246.0,1258.0,32.624,30.516,29.49,29.541,1.0
248.0,1277.0,32.693,30.445,29.535,29.537,1.0
250.0,1259.0,32.693,30.516,29.513,29.539,1.0
252.0,1248.0,32.739,30.56,29.557,29.545,1.0
254.0,1244.0,32.808,30.583,29.579,29.552,1.0
256.0,1245.0,32.808,30.583,29.579,29.558,1.0
258.0,1240.0,32.808,30.605,29.557,29.566,1.0
260.0,1241.0,32.712,30.605,29.601,29.573,1.0
262.0,1261.0,32.712,30.534,29.601,29.573,1.0
264.0,1267.0,32.762,30.512,29.557,29.571,1.0
266.0,1244.0,32.762,30.605,29.557,29.578,1.0
268.0,1245.0,32.9,30.605,29.509,29.584,1.0
270.0,1246.0,32.923,30.605,29.509,29.589,1.0
272.0,1246.0,32.877,30.605,29.601,29.593,1.0
274.0,1242.0,32.877,30.628,29.601,29.6,1.0
276.0,1243.0,32.804,30.628,29.601,29.605,1.0
278.0,1243.0,32.804,30.628,29.509,29.61,1.0
280.0,1257.0,32.877,30.579,29.623,29.611,1.0
282.0,1239.0,32.854,30.65,29.601,29.617,1.0
284.0,1229.0,32.877,30.695,29.646,29.626,1.0
286.0,1224.0,32.9,30.717,29.575,29.637,1.0
288.0,1219.0,32.877,30.74,29.598,29.648,1.0
290.0,1245.0,32.758,30.646,29.69,29.651,1.0
292.0,1227.0,32.666,30.717,29.646,29.659,1.0
294.0,1241.0,32.785,30.669,29.69,29.662,1.0
296.0,1247.0,32.762,30.646,29.668,29.663,1.0
298.0,1229.0,32.739,30.717,29.69,29.67,1.0
300.0,1224.0,32.785,30.74,29.62,29.678,1.0
302.0,1250.0,32.689,30.646,29.62,29.678,1.0
304.0,1237.0,32.716,30.695,29.668,29.682,1.0
306.0,1238.0,32.666,30.695,29.575,29.685,1.0
