temps,ACTU,MILIEU,LASER,LASER_ESTIME,TENSION_ACTU,TENSION_MILIEU,TENSION_LASER,DUTY CYCLE,STABILITE
2.0,23.731,23.603,23.625,23.605,2.57,2.577,2.576,980.0,0.0
4.0,23.433,23.603,23.536,23.605,2.586,2.577,2.581,980.0,0.0
6.0,23.497,23.603,23.625,23.605,2.583,2.577,2.576,980.0,0.0
8.0,23.561,23.582,23.625,23.603,2.579,2.578,2.576,980.0,0.0
10.0,23.557,23.582,23.625,23.601,2.579,2.578,2.576,980.0,0.0
12.0,23.777,23.582,23.646,23.6,2.567,2.578,2.575,290.0,0.0
14.0,23.77,23.642,23.706,23.603,2.568,2.575,2.571,315.0,0.0
16.0,23.26,23.688,23.663,23.611,2.596,2.572,2.574,299.0,0.0
18.0,22.413,23.625,23.71,23.612,2.643,2.576,2.571,312.0,0.0
20.0,21.846,23.603,23.752,23.611,2.674,2.577,2.569,313.0,0.0
22.0,21.21,23.472,23.773,23.599,2.71,2.584,2.567,343.0,0.0
24.0,20.722,23.409,23.748,23.583,2.737,2.588,2.569,355.0,0.0
26.0,20.364,23.324,23.66,23.561,2.757,2.592,2.574,372.0,0.0
28.0,20.09,23.15,23.593,23.527,2.772,2.602,2.577,412.0,0.0
30.0,19.771,22.977,23.614,23.481,2.79,2.611,2.576,452.0,0.0
32.0,19.515,22.893,23.547,23.433,2.804,2.616,2.58,468.0,0.0
34.0,19.389,22.677,23.525,23.371,2.811,2.628,2.581,518.0,0.0
36.0,19.217,22.526,23.547,23.302,2.821,2.636,2.58,550.0,0.0
38.0,19.087,22.374,23.458,23.227,2.828,2.645,2.585,583.0,0.0
40.0,19.045,22.201,23.37,23.144,2.83,2.654,2.59,621.0,0.0
42.0,19.045,22.117,23.239,23.063,2.83,2.659,2.597,635.0,0.0
44.0,18.958,22.011,23.175,22.98,2.835,2.665,2.601,656.0,0.0
46.0,18.912,21.927,23.044,22.898,2.838,2.67,2.608,671.0,0.0
48.0,18.954,21.842,22.981,22.817,2.835,2.674,2.611,686.0,0.0
50.0,18.996,21.712,22.896,22.733,2.833,2.682,2.616,713.0,0.0
52.0,18.972,21.649,22.787,22.652,2.834,2.685,2.622,723.0,0.0
54.0,19.035,21.519,22.811,22.567,2.831,2.692,2.621,750.0,0.0
56.0,19.119,21.477,22.702,22.487,2.826,2.695,2.627,755.0,0.0
58.0,19.182,21.347,22.617,22.404,2.823,2.702,2.631,783.0,0.0
60.0,19.221,21.326,22.487,22.328,2.82,2.703,2.639,782.0,0.0
62.0,19.305,21.35,22.512,22.26,2.816,2.702,2.637,770.0,0.0
64.0,19.368,21.308,22.406,22.196,2.812,2.704,2.643,776.0,0.0
66.0,19.473,21.178,22.321,22.127,2.806,2.711,2.648,805.0,0.0
68.0,19.512,21.22,22.212,22.068,2.804,2.709,2.654,789.0,0.0
70.0,19.662,21.157,22.128,22.01,2.796,2.713,2.659,801.0,0.0
72.0,19.746,21.157,22.106,21.957,2.791,2.713,2.66,796.0,0.0
74.0,19.855,21.115,22.043,21.906,2.785,2.715,2.663,803.0,0.0
76.0,19.918,21.115,21.913,21.86,2.782,2.715,2.67,799.0,0.0
78.0,19.873,21.073,21.959,21.815,2.784,2.717,2.668,807.0,0.0
80.0,19.848,21.073,21.916,21.774,2.785,2.717,2.67,803.0,0.0
82.0,19.915,21.052,21.853,21.735,2.782,2.718,2.674,806.0,0.0
84.0,19.848,20.985,21.92,21.694,2.785,2.722,2.67,820.0,0.0
86.0,19.999,20.985,21.811,21.658,2.777,2.722,2.676,817.0,0.0
88.0,19.999,21.073,21.681,21.632,2.777,2.717,2.683,792.0,0.0
90.0,20.02,21.009,21.705,21.604,2.776,2.721,2.682,806.0,0.0
92.0,20.041,21.009,21.638,21.578,2.775,2.721,2.686,803.0,0.0
94.0,20.041,20.988,21.684,21.553,2.775,2.722,2.683,807.0,0.0
