temps,ACTU,MILIEU,LASER,LASER_ESTIME,TENSION_ACTU,TENSION_MILIEU,TENSION_LASER,DUTY CYCLE (0 - 1000)
160.0,22.209,23.501,24.053,24.226,2.654,2.583,2.552,389.0,0.0
162.0,22.145,23.547,24.011,24.195,2.658,2.58,2.554,389.0,0.0
164.0,22.082,23.394,24.057,24.153,2.661,2.588,2.552,389.0,0.0
166.0,22.018,23.44,23.926,24.119,2.665,2.586,2.559,385.0,0.0
168.0,21.997,23.398,23.972,24.084,2.666,2.588,2.557,385.0,0.0
170.0,21.934,23.246,23.862,24.04,2.669,2.597,2.563,385.0,0.0
172.0,21.871,23.292,23.887,24.005,2.673,2.594,2.561,385.0,0.0
174.0,21.807,23.249,23.844,23.969,2.676,2.596,2.564,382.0,0.0
176.0,21.853,23.119,23.713,23.925,2.674,2.604,2.571,382.0,0.0
178.0,21.79,23.076,23.759,23.881,2.677,2.606,2.568,382.0,0.0
180.0,21.638,23.034,23.738,23.839,2.686,2.608,2.569,382.0,0.0
182.0,21.575,23.08,23.674,23.804,2.689,2.606,2.573,382.0,0.0
184.0,21.554,23.037,23.543,23.769,2.69,2.608,2.58,378.0,0.0
186.0,21.579,22.974,23.589,23.732,2.689,2.612,2.578,378.0,0.0
188.0,21.624,22.931,23.547,23.695,2.687,2.614,2.58,378.0,0.0
190.0,21.473,22.91,23.504,23.66,2.695,2.615,2.582,378.0,0.0
192.0,21.431,22.868,23.483,23.624,2.697,2.618,2.583,378.0,0.0
194.0,21.368,22.826,23.44,23.589,2.701,2.62,2.586,375.0,0.0
196.0,21.326,22.762,23.419,23.551,2.703,2.623,2.587,375.0,0.0
198.0,21.283,22.741,23.377,23.515,2.705,2.625,2.589,375.0,0.0
200.0,21.22,22.699,23.334,23.479,2.709,2.627,2.592,375.0,0.0
202.0,21.178,22.635,23.292,23.441,2.711,2.63,2.594,375.0,0.0
204.0,21.157,22.593,23.249,23.403,2.713,2.633,2.596,375.0,0.0
206.0,21.115,22.572,23.228,23.367,2.715,2.634,2.598,372.0,0.0
208.0,21.16,22.529,23.186,23.33,2.712,2.636,2.6,372.0,0.0
210.0,21.031,22.487,23.143,23.294,2.72,2.639,2.602,372.0,0.0
212.0,20.967,22.466,23.101,23.259,2.723,2.64,2.605,372.0,0.0
214.0,21.013,22.402,23.059,23.222,2.721,2.643,2.607,372.0,0.0
216.0,20.883,22.36,23.037,23.185,2.728,2.646,2.608,372.0,0.0
218.0,20.862,22.427,22.974,23.158,2.729,2.642,2.612,372.0,0.0
220.0,20.841,22.297,23.02,23.122,2.73,2.649,2.609,368.0,0.0
222.0,20.887,22.254,22.91,23.085,2.728,2.652,2.615,368.0,0.0
224.0,20.778,22.212,22.889,23.049,2.734,2.654,2.616,368.0,0.0
226.0,20.736,22.191,22.935,23.014,2.736,2.655,2.614,368.0,0.0
228.0,20.672,22.149,22.804,22.979,2.74,2.657,2.621,368.0,0.0
230.0,20.63,22.106,22.783,22.944,2.742,2.66,2.622,368.0,0.0
232.0,20.609,22.152,22.741,22.916,2.743,2.657,2.625,368.0,0.0
234.0,20.567,22.11,22.808,22.887,2.745,2.66,2.621,368.0,0.0
236.0,20.525,22.001,22.677,22.852,2.748,2.666,2.628,365.0,0.0
238.0,20.483,21.959,22.723,22.816,2.75,2.668,2.626,365.0,0.0
240.0,20.441,21.937,22.614,22.782,2.752,2.669,2.632,365.0,2.0
242.0,20.42,21.874,22.593,22.746,2.754,2.673,2.633,365.0,2.0
244.0,20.465,21.853,22.572,22.711,2.751,2.674,2.634,365.0,2.0
246.0,20.315,21.811,22.529,22.677,2.759,2.676,2.636,365.0,2.0
248.0,20.293,21.769,22.596,22.642,2.761,2.679,2.633,365.0,2.0
250.0,20.272,21.726,22.466,22.606,2.762,2.681,2.64,365.0,2.0
252.0,20.318,21.705,22.445,22.573,2.759,2.682,2.641,365.0,2.0
254.0,20.188,21.772,22.402,22.548,2.766,2.678,2.643,365.0,2.0
256.0,20.146,21.663,22.36,22.516,2.769,2.684,2.646,365.0,2.0
258.0,20.146,21.621,22.318,22.484,2.769,2.687,2.648,365.0,1.0
260.0,20.125,21.6,22.275,22.453,2.77,2.688,2.65,365.0,1.0
262.0,20.083,21.558,22.233,22.421,2.772,2.69,2.653,365.0,1.0
264.0,20.041,21.515,22.212,22.389,2.775,2.693,2.654,365.0,1.0
266.0,20.02,21.582,22.258,22.366,2.776,2.689,2.651,362.0,1.0
268.0,20.087,21.473,22.237,22.336,2.772,2.695,2.653,362.0,1.0
270.0,19.999,21.452,22.216,22.306,2.777,2.696,2.654,362.0,1.0
272.0,19.978,21.431,22.106,22.278,2.778,2.697,2.66,362.0,1.0
274.0,19.957,21.498,22.064,22.258,2.779,2.694,2.662,362.0,1.0
276.0,19.957,21.368,22.043,22.229,2.779,2.701,2.663,362.0,1.0
278.0,19.915,21.347,22.022,22.201,2.782,2.702,2.664,362.0,1.0
280.0,19.981,21.413,21.98,22.182,2.778,2.698,2.667,362.0,1.0
282.0,19.96,21.413,21.959,22.164,2.779,2.698,2.668,362.0,1.0
284.0,19.852,21.283,21.916,22.137,2.785,2.705,2.67,362.0,1.0
286.0,19.81,21.262,21.983,22.11,2.788,2.707,2.667,362.0,1.0
288.0,19.788,21.241,21.874,22.085,2.789,2.708,2.673,362.0,1.0
290.0,19.746,21.308,21.941,22.067,2.791,2.704,2.669,362.0,1.0
292.0,19.725,21.178,21.92,22.04,2.792,2.711,2.67,362.0,1.0
294.0,19.813,21.136,21.79,22.013,2.787,2.714,2.677,362.0,1.0
296.0,19.704,21.115,21.79,21.985,2.793,2.715,2.677,362.0,1.0
298.0,19.771,21.182,21.769,21.967,2.79,2.711,2.679,362.0,1.0
300.0,19.641,21.16,21.814,21.948,2.797,2.712,2.676,362.0,1.0
302.0,19.599,21.052,21.793,21.922,2.799,2.718,2.677,362.0,1.0
304.0,19.687,21.009,21.751,21.894,2.794,2.721,2.679,362.0,1.0
306.0,19.578,21.009,21.663,21.87,2.801,2.721,2.684,362.0,1.0
308.0,19.557,20.967,21.751,21.844,2.802,2.723,2.679,362.0,1.0
310.0,19.448,20.858,21.47,21.811,2.808,2.729,2.695,362.0,1.0
312.0,19.301,20.774,21.47,21.774,2.816,2.734,2.695,362.0,1.0
314.0,19.322,20.862,21.449,21.748,2.815,2.729,2.696,362.0,1.0
316.0,19.322,20.753,21.427,21.716,2.815,2.735,2.697,362.0,1.0
318.0,19.301,20.732,21.406,21.684,2.816,2.736,2.699,362.0,1.0
320.0,19.28,20.69,21.364,21.652,2.817,2.739,2.701,362.0,1.0
322.0,19.259,20.69,21.322,21.623,2.818,2.739,2.703,362.0,1.0
324.0,19.259,20.648,21.301,21.594,2.818,2.741,2.705,365.0,1.0
326.0,19.15,20.627,21.301,21.565,2.824,2.742,2.705,365.0,1.0
328.0,19.259,20.606,21.28,21.538,2.818,2.743,2.706,365.0,1.0
330.0,19.238,20.585,21.347,21.511,2.819,2.744,2.702,365.0,1.0
332.0,19.217,20.585,21.238,21.487,2.821,2.744,2.708,365.0,1.0
334.0,19.196,20.564,21.304,21.463,2.822,2.746,2.704,365.0,1.0
336.0,19.196,20.543,21.217,21.44,2.822,2.747,2.709,365.0,1.0
338.0,19.242,20.5,21.174,21.415,2.819,2.749,2.712,365.0,1.0
340.0,19.112,20.479,21.174,21.391,2.827,2.75,2.712,365.0,1.0
342.0,19.112,20.458,21.132,21.368,2.827,2.751,2.714,365.0,1.0
344.0,19.133,20.458,21.132,21.347,2.825,2.751,2.714,365.0,1.0
346.0,19.221,20.458,21.069,21.328,2.82,2.751,2.717,365.0,1.0
348.0,19.112,20.35,21.069,21.301,2.827,2.757,2.717,365.0,1.0
350.0,19.112,20.525,21.069,21.292,2.827,2.748,2.717,365.0,1.0
352.0,19.112,20.504,21.069,21.282,2.827,2.749,2.717,365.0,1.0
354.0,19.2,20.504,21.048,21.273,2.822,2.749,2.719,368.0,1.0
356.0,19.091,20.483,21.048,21.263,2.828,2.75,2.719,368.0,1.0
358.0,19.178,20.483,21.027,21.255,2.823,2.75,2.72,368.0,1.0
360.0,19.091,20.462,21.094,21.245,2.828,2.751,2.716,368.0,1.0
362.0,19.158,20.462,21.073,21.236,2.824,2.751,2.717,368.0,1.0
364.0,19.158,20.374,20.985,21.22,2.824,2.756,2.722,368.0,1.0
366.0,19.07,20.374,21.094,21.206,2.829,2.756,2.716,368.0,1.0
368.0,19.07,20.42,20.985,21.197,2.829,2.754,2.722,368.0,0.0
370.0,19.049,20.311,20.943,21.18,2.83,2.76,2.724,368.0,0.0
372.0,19.007,20.311,20.943,21.164,2.832,2.76,2.724,368.0,0.0
374.0,19.007,20.29,21.009,21.148,2.832,2.761,2.721,372.0,0.0
376.0,19.028,20.269,20.879,21.132,2.831,2.762,2.728,372.0,0.0
378.0,19.007,20.248,20.967,21.116,2.832,2.763,2.723,372.0,0.0
380.0,18.986,20.248,20.858,21.101,2.834,2.763,2.729,372.0,0.0
382.0,18.986,20.248,20.946,21.087,2.834,2.763,2.724,372.0,0.0
384.0,19.094,20.248,20.879,21.075,2.827,2.763,2.728,372.0,0.0
386.0,19.007,20.227,20.901,21.062,2.832,2.764,2.727,372.0,0.0
388.0,19.007,20.227,20.988,21.051,2.832,2.764,2.722,372.0,0.0
390.0,19.007,20.227,20.967,21.041,2.832,2.764,2.723,372.0,0.0
392.0,19.028,20.293,20.858,21.037,2.831,2.761,2.729,372.0,0.0
394.0,19.049,20.206,20.946,21.026,2.83,2.766,2.724,375.0,0.0
396.0,19.07,20.206,20.837,21.016,2.829,2.766,2.73,375.0,0.0
398.0,19.091,20.206,20.816,21.007,2.828,2.766,2.731,375.0,0.0
400.0,19.112,20.206,20.816,20.999,2.827,2.766,2.731,375.0,0.0
402.0,19.112,20.185,20.816,20.99,2.827,2.767,2.731,375.0,0.0
404.0,19.091,20.185,20.795,20.982,2.828,2.767,2.733,375.0,0.0
406.0,19.07,20.185,20.862,20.975,2.829,2.767,2.729,375.0,0.0
408.0,19.049,20.185,20.774,20.968,2.83,2.767,2.734,375.0,0.0
410.0,19.07,20.185,20.753,20.962,2.829,2.767,2.735,378.0,0.0
412.0,19.07,20.185,20.841,20.957,2.829,2.767,2.73,378.0,0.0
414.0,19.091,20.185,20.753,20.952,2.828,2.767,2.735,378.0,0.0
416.0,19.003,20.164,20.732,20.946,2.833,2.768,2.736,378.0,0.0
418.0,19.091,20.164,20.732,20.94,2.828,2.768,2.736,378.0,0.0
420.0,19.07,20.164,20.644,20.935,2.829,2.768,2.741,378.0,0.0
422.0,19.07,20.164,20.711,20.93,2.829,2.768,2.737,378.0,0.0
424.0,19.07,20.164,20.69,20.926,2.829,2.768,2.739,378.0,0.0
426.0,19.091,20.143,20.711,20.921,2.828,2.769,2.737,382.0,0.0
428.0,19.07,20.143,20.602,20.916,2.829,2.769,2.743,382.0,0.0
430.0,19.07,20.122,20.711,20.909,2.829,2.77,2.737,382.0,0.0
432.0,19.07,20.188,20.69,20.909,2.829,2.766,2.739,382.0,0.0
434.0,19.091,20.101,20.711,20.902,2.828,2.771,2.737,382.0,0.0
436.0,19.178,20.034,20.69,20.889,2.823,2.775,2.739,382.0,0.0
438.0,19.07,20.122,20.69,20.886,2.829,2.77,2.739,382.0,0.0
440.0,19.091,20.122,20.669,20.882,2.828,2.77,2.74,382.0,0.0
442.0,19.091,20.122,20.669,20.879,2.828,2.77,2.74,385.0,0.0
444.0,19.07,20.034,20.669,20.869,2.829,2.775,2.74,385.0,0.0
446.0,19.07,20.122,20.648,20.867,2.829,2.77,2.741,385.0,0.0
448.0,19.091,20.188,20.648,20.871,2.828,2.766,2.741,385.0,0.0
450.0,19.112,20.034,20.539,20.861,2.827,2.775,2.747,385.0,0.0
452.0,19.091,20.101,20.627,20.859,2.828,2.771,2.742,385.0,0.0
454.0,19.091,20.101,20.648,20.856,2.828,2.771,2.741,385.0,0.0
456.0,19.112,20.101,20.669,20.854,2.827,2.771,2.74,389.0,0.0
458.0,19.091,20.08,20.669,20.85,2.828,2.773,2.74,389.0,0.0
460.0,19.133,20.08,20.669,20.846,2.825,2.773,2.74,389.0,0.0
462.0,19.066,20.101,20.669,20.845,2.829,2.771,2.74,389.0,0.0
464.0,19.108,20.101,20.648,20.843,2.827,2.771,2.741,389.0,0.0
466.0,19.196,20.034,20.648,20.837,2.822,2.775,2.741,389.0,0.0
468.0,19.129,20.122,20.627,20.838,2.826,2.77,2.742,389.0,0.0
470.0,19.217,20.122,20.627,20.839,2.821,2.77,2.742,389.0,0.0
472.0,19.15,20.122,20.627,20.84,2.824,2.77,2.742,392.0,0.0
474.0,19.15,20.122,20.627,20.841,2.824,2.77,2.742,392.0,0.0
476.0,19.259,20.055,20.627,20.836,2.818,2.774,2.742,392.0,0.0
478.0,19.301,20.055,20.539,20.832,2.816,2.774,2.747,392.0,0.0
480.0,19.301,20.143,20.539,20.836,2.816,2.769,2.747,392.0,0.0
482.0,19.322,20.164,20.627,20.841,2.815,2.768,2.742,392.0,0.0
484.0,19.214,20.076,20.627,20.838,2.821,2.773,2.742,392.0,0.0
486.0,19.214,20.097,20.648,20.837,2.821,2.772,2.741,395.0,0.0
488.0,19.214,20.164,20.539,20.842,2.821,2.768,2.747,395.0,0.0
490.0,19.256,20.185,20.539,20.848,2.818,2.767,2.747,395.0,0.0
492.0,19.364,20.185,20.56,20.854,2.812,2.767,2.746,395.0,0.0
494.0,19.277,20.185,20.648,20.859,2.817,2.767,2.741,395.0,0.0
496.0,19.277,20.164,20.56,20.862,2.817,2.768,2.746,395.0,0.0
498.0,19.277,20.076,20.56,20.857,2.817,2.773,2.746,395.0,0.0
500.0,19.385,20.097,20.602,20.854,2.811,2.772,2.743,395.0,0.0
502.0,19.298,20.185,20.669,20.859,2.816,2.767,2.74,399.0,0.0
504.0,19.298,20.185,20.581,20.864,2.816,2.767,2.745,399.0,0.0
506.0,19.406,20.097,20.56,20.86,2.81,2.772,2.746,399.0,0.0
508.0,19.34,20.097,20.581,20.857,2.814,2.772,2.745,399.0,0.0
510.0,19.34,20.097,20.669,20.855,2.814,2.772,2.74,399.0,0.0
512.0,19.361,20.206,20.581,20.861,2.813,2.766,2.745,399.0,0.0
514.0,19.448,20.118,20.602,20.86,2.808,2.77,2.743,399.0,0.0
516.0,19.469,20.139,20.602,20.861,2.807,2.769,2.743,402.0,0.0
518.0,19.382,20.139,20.669,20.861,2.811,2.769,2.74,402.0,0.0
520.0,19.361,20.227,20.581,20.869,2.813,2.764,2.745,402.0,0.0
522.0,19.403,20.139,20.602,20.869,2.81,2.769,2.743,402.0,0.0
524.0,19.403,20.16,20.669,20.871,2.81,2.768,2.74,402.0,0.0
526.0,19.424,20.16,20.602,20.872,2.809,2.768,2.743,402.0,0.0
528.0,19.445,20.248,20.602,20.881,2.808,2.763,2.743,402.0,0.0
530.0,19.445,20.269,20.581,20.891,2.808,2.762,2.745,402.0,0.0
532.0,19.445,20.181,20.602,20.892,2.808,2.767,2.743,405.0,0.0
534.0,19.378,20.269,20.69,20.901,2.812,2.762,2.739,405.0,0.0
536.0,19.487,20.29,20.602,20.91,2.806,2.761,2.743,405.0,0.0
538.0,19.487,20.202,20.623,20.912,2.806,2.766,2.742,405.0,0.0
540.0,19.508,20.202,20.623,20.913,2.804,2.766,2.742,405.0,0.0
542.0,19.441,20.223,20.644,20.915,2.808,2.765,2.741,405.0,0.0
544.0,19.441,20.244,20.644,20.92,2.808,2.763,2.741,405.0,0.0
546.0,19.55,20.244,20.644,20.924,2.802,2.763,2.741,409.0,0.0
548.0,19.441,20.265,20.644,20.929,2.808,2.762,2.741,409.0,0.0
550.0,19.571,20.265,20.644,20.934,2.801,2.762,2.741,409.0,0.0
552.0,19.571,20.353,20.644,20.946,2.801,2.757,2.741,409.0,0.0
554.0,19.483,20.265,20.665,20.949,2.806,2.762,2.74,409.0,0.0
556.0,19.592,20.286,20.578,20.954,2.8,2.761,2.745,409.0,0.0
558.0,19.613,20.286,20.686,20.958,2.799,2.761,2.739,409.0,0.0
560.0,19.613,20.286,20.686,20.962,2.799,2.761,2.739,409.0,0.0
562.0,19.634,20.199,20.686,20.958,2.797,2.766,2.739,412.0,0.0
564.0,19.634,20.308,20.686,20.963,2.797,2.76,2.739,412.0,0.0
566.0,19.568,20.308,20.686,20.968,2.801,2.76,2.739,412.0,0.0
568.0,19.589,20.329,20.707,20.975,2.8,2.759,2.738,412.0,0.0
570.0,19.697,20.329,20.707,20.981,2.794,2.759,2.738,412.0,0.0
572.0,19.718,20.262,20.62,20.98,2.793,2.762,2.742,412.0,0.0
574.0,19.739,20.262,20.729,20.98,2.792,2.762,2.736,412.0,0.0
576.0,19.673,20.35,20.641,20.987,2.795,2.757,2.741,412.0,0.0
578.0,19.781,20.371,20.75,20.995,2.789,2.756,2.735,412.0,0.0
580.0,19.781,20.392,20.683,21.005,2.789,2.755,2.739,415.0,0.0
582.0,19.781,20.371,20.771,21.011,2.789,2.756,2.734,415.0,0.0
584.0,19.715,20.283,20.792,21.009,2.793,2.761,2.733,415.0,0.0
586.0,19.715,20.392,20.792,21.017,2.793,2.755,2.733,415.0,0.0
588.0,19.757,20.413,20.792,21.026,2.791,2.754,2.733,415.0,0.0
590.0,19.757,20.434,20.725,21.036,2.791,2.753,2.737,415.0,0.0
592.0,19.799,20.367,20.813,21.04,2.788,2.757,2.732,415.0,0.0
594.0,19.82,20.476,20.834,21.052,2.787,2.75,2.731,415.0,0.0
596.0,19.929,20.455,20.876,21.061,2.781,2.752,2.728,415.0,0.0
598.0,19.95,20.476,20.809,21.071,2.78,2.75,2.732,419.0,0.0
600.0,19.95,20.409,20.809,21.075,2.78,2.754,2.732,419.0,0.0
