temps,ACTU,MILIEU,LASER,LASER_ESTIME,TENSION_ACTU,TENSION_MILIEU,TENSION_LASER,DUTY CYCLE,STABILITE
2.0,23.331,23.225,23.203,23.28,2.592,2.598,2.599,980.0,0.0
4.0,23.143,23.292,23.182,23.281,2.602,2.594,2.6,980.0,0.0
6.0,23.097,23.249,23.203,23.279,2.605,2.596,2.599,980.0,0.0
8.0,23.161,23.161,23.292,23.269,2.601,2.601,2.594,980.0,0.0
10.0,23.246,23.14,23.292,23.258,2.597,2.602,2.594,980.0,0.0
12.0,23.267,23.161,23.203,23.25,2.595,2.601,2.599,980.0,0.0
14.0,23.398,23.052,23.203,23.234,2.588,2.607,2.599,980.0,0.0
16.0,23.331,23.161,23.225,23.228,2.592,2.601,2.598,980.0,0.0
18.0,23.44,23.14,23.203,23.221,2.586,2.602,2.599,1670.0,0.0
20.0,23.635,23.341,23.338,23.232,2.575,2.591,2.592,1670.0,0.0
22.0,24.203,23.249,23.334,23.234,2.544,2.596,2.592,1670.0,0.0
24.0,25.614,23.182,23.356,23.231,2.466,2.6,2.591,1670.0,0.0
26.0,26.847,23.398,23.38,23.246,2.399,2.588,2.589,1670.0,0.0
28.0,27.826,23.483,23.249,23.266,2.347,2.583,2.596,1670.0,0.0
30.0,28.703,23.628,23.288,23.297,2.3,2.575,2.594,1670.0,0.0
32.0,29.45,23.883,23.352,23.347,2.26,2.561,2.591,1670.0,0.0
34.0,30.161,24.139,23.394,23.413,2.222,2.547,2.588,1670.0,0.0
36.0,30.811,24.416,23.479,23.497,2.188,2.532,2.584,1626.0,0.0
38.0,31.394,24.69,23.451,23.596,2.158,2.517,2.585,1564.0,0.0
40.0,31.794,25.007,23.642,23.712,2.137,2.5,2.575,1491.0,0.0
42.0,32.014,25.214,23.72,23.834,2.126,2.488,2.57,1448.0,0.0
44.0,32.17,25.442,23.798,23.964,2.118,2.476,2.566,1400.0,0.0
46.0,32.235,25.74,23.943,24.107,2.115,2.46,2.558,1333.0,0.0
48.0,32.163,25.973,24.089,24.255,2.118,2.447,2.55,1284.0,0.0
50.0,32.067,26.163,24.256,24.405,2.123,2.436,2.541,1246.0,0.0
52.0,31.813,26.353,24.401,24.557,2.136,2.426,2.533,1207.0,0.0
54.0,31.511,26.544,24.569,24.71,2.152,2.416,2.524,1168.0,0.0
56.0,31.281,26.58,24.736,24.851,2.164,2.414,2.514,1170.0,0.0
58.0,30.965,26.688,24.864,24.988,2.18,2.408,2.507,1152.0,0.0
60.0,30.811,26.818,24.989,25.123,2.188,2.401,2.501,1127.0,0.0
62.0,30.583,26.88,25.114,25.249,2.2,2.398,2.494,1121.0,0.0
64.0,30.336,26.988,25.285,25.373,2.213,2.392,2.484,1101.0,0.0
66.0,29.972,27.097,25.389,25.493,2.232,2.386,2.479,1081.0,0.0
68.0,29.794,27.071,25.561,25.6,2.242,2.387,2.469,1096.0,0.0
70.0,29.549,27.14,25.736,25.702,2.255,2.383,2.46,1085.0,0.0
72.0,29.28,27.003,25.865,25.783,2.269,2.391,2.453,1128.0,0.0
74.0,29.177,27.006,25.844,25.856,2.274,2.391,2.454,1133.0,0.0
76.0,29.088,27.118,25.93,25.931,2.279,2.385,2.449,1109.0,0.0
78.0,29.088,27.093,25.991,25.997,2.279,2.386,2.446,1121.0,0.0
80.0,29.022,27.162,25.991,26.063,2.283,2.382,2.446,1107.0,0.0
82.0,29.022,27.205,26.12,26.125,2.283,2.38,2.439,1101.0,0.0
84.0,28.886,27.227,26.274,26.184,2.29,2.379,2.43,1099.0,0.0
86.0,28.798,27.136,26.296,26.229,2.295,2.384,2.429,1127.0,0.0
88.0,28.736,27.14,26.407,26.27,2.298,2.383,2.423,1129.0,0.0
90.0,28.67,27.14,26.451,26.307,2.301,2.383,2.421,1132.0,0.0
92.0,28.648,27.14,26.404,26.34,2.303,2.383,2.423,1135.0,0.0
94.0,28.717,27.187,26.447,26.374,2.299,2.381,2.421,1126.0,0.0
96.0,28.739,27.14,26.512,26.401,2.298,2.383,2.418,1141.0,0.0
98.0,28.717,27.165,26.49,26.427,2.299,2.382,2.419,1136.0,0.0
100.0,28.626,27.187,26.624,26.453,2.304,2.381,2.411,1133.0,0.0
102.0,28.626,27.209,26.555,26.478,2.304,2.38,2.415,1129.0,0.0
104.0,28.534,27.14,26.667,26.495,2.309,2.383,2.409,1149.0,0.0
106.0,28.695,27.231,26.624,26.517,2.3,2.379,2.411,1127.0,0.0
108.0,28.761,27.205,26.577,26.536,2.297,2.38,2.414,1135.0,0.0
110.0,28.805,27.093,26.465,26.543,2.294,2.386,2.42,1166.0,0.0
112.0,28.831,27.231,26.512,26.561,2.293,2.379,2.418,1131.0,0.0
114.0,28.849,27.318,26.62,26.585,2.292,2.374,2.412,1110.0,0.0
116.0,28.732,27.314,26.616,26.606,2.298,2.374,2.412,1113.0,0.0
118.0,28.666,27.292,26.685,26.623,2.302,2.375,2.408,1120.0,0.0
120.0,28.6,27.27,26.707,26.637,2.305,2.376,2.407,1127.0,0.0
122.0,28.626,27.227,26.685,26.645,2.304,2.379,2.408,1140.0,0.0
124.0,28.582,27.205,26.797,26.651,2.306,2.38,2.402,1147.0,0.0
126.0,28.717,27.296,26.685,26.664,2.299,2.375,2.408,1124.0,0.0
128.0,28.736,27.27,26.75,26.674,2.298,2.376,2.405,1132.0,0.0
