temps,COMMANDE,ACTU,MILIEU,LASER,LASER_ESTIME,STABILITE
702.0,989.0,27.888,27.862,27.452,27.369,1.0
704.0,971.0,27.866,27.931,27.542,27.365,1.0
706.0,987.0,27.888,27.862,27.452,27.355,1.0
708.0,969.0,28.001,27.931,27.452,27.353,1.0
710.0,963.0,27.931,27.953,27.361,27.352,1.0
712.0,968.0,27.931,27.931,27.473,27.35,1.0
714.0,968.0,27.84,27.931,27.495,27.348,1.0
716.0,995.0,27.91,27.819,27.586,27.337,1.0
718.0,982.0,27.866,27.866,27.452,27.33,1.0
720.0,976.0,27.888,27.888,27.473,27.327,1.0
722.0,976.0,27.931,27.888,27.473,27.323,1.0
724.0,969.0,27.931,27.91,27.452,27.322,1.0
726.0,969.0,27.953,27.91,27.452,27.321,1.0
728.0,974.0,27.931,27.888,27.452,27.318,1.0
730.0,996.0,27.931,27.797,27.452,27.307,1.0
732.0,978.0,27.91,27.866,27.499,27.304,1.0
734.0,972.0,27.862,27.888,27.408,27.303,1.0
736.0,994.0,27.884,27.797,27.408,27.294,1.0
738.0,993.0,27.953,27.797,27.386,27.286,1.0
740.0,969.0,27.975,27.888,27.386,27.286,1.0
742.0,963.0,28.019,27.91,27.339,27.289,1.0
744.0,957.0,28.041,27.931,27.408,27.293,1.0
746.0,980.0,28.019,27.84,27.386,27.288,1.0
748.0,956.0,27.975,27.931,27.386,27.292,1.0
750.0,956.0,27.975,27.931,27.386,27.296,1.0
752.0,956.0,27.975,27.931,27.296,27.299,1.0
754.0,955.0,27.931,27.931,27.386,27.302,1.0
756.0,955.0,27.888,27.931,27.386,27.305,1.0
758.0,955.0,27.888,27.931,27.274,27.307,1.0
760.0,954.0,27.844,27.931,27.274,27.309,1.0
762.0,954.0,27.844,27.931,27.386,27.311,1.0
764.0,959.0,27.731,27.91,27.386,27.311,1.0
766.0,981.0,27.822,27.819,27.365,27.303,1.0
768.0,969.0,27.8,27.866,27.343,27.3,1.0
770.0,968.0,27.822,27.866,27.274,27.297,1.0
772.0,968.0,27.888,27.866,27.343,27.295,1.0
774.0,967.0,27.888,27.866,27.252,27.293,1.0
776.0,967.0,27.91,27.866,27.321,27.291,1.0
778.0,966.0,27.931,27.866,27.343,27.289,1.0
780.0,988.0,27.953,27.775,27.321,27.279,1.0
782.0,970.0,27.91,27.844,27.299,27.277,1.0
784.0,964.0,27.975,27.866,27.299,27.276,1.0
786.0,964.0,27.975,27.866,27.299,27.276,1.0
788.0,969.0,27.975,27.844,27.299,27.274,1.0
790.0,968.0,27.975,27.844,27.299,27.272,1.0
792.0,968.0,27.884,27.844,27.299,27.27,1.0
794.0,984.0,27.931,27.775,27.299,27.262,1.0
796.0,961.0,27.91,27.866,27.39,27.263,1.0
798.0,979.0,27.84,27.797,27.299,27.258,1.0
800.0,983.0,27.931,27.775,27.187,27.252,1.0
802.0,959.0,27.91,27.866,27.299,27.254,1.0
804.0,953.0,27.953,27.888,27.299,27.257,1.0
806.0,977.0,27.84,27.797,27.299,27.253,1.0
808.0,958.0,27.888,27.866,27.299,27.255,1.0
810.0,976.0,27.888,27.797,27.209,27.251,1.0
812.0,957.0,27.866,27.866,27.278,27.253,1.0
814.0,980.0,27.866,27.775,27.299,27.247,1.0
816.0,962.0,27.866,27.844,27.278,27.247,1.0
818.0,961.0,27.931,27.844,27.278,27.248,1.0
820.0,967.0,27.84,27.822,27.278,27.247,1.0
822.0,966.0,27.931,27.822,27.256,27.245,1.0
824.0,966.0,27.91,27.822,27.256,27.244,1.0
826.0,965.0,27.819,27.822,27.278,27.243,1.0
828.0,965.0,27.888,27.822,27.256,27.242,1.0
830.0,965.0,27.797,27.822,27.278,27.241,1.0
832.0,964.0,27.866,27.822,27.256,27.241,1.0
834.0,964.0,27.866,27.822,27.165,27.24,1.0
836.0,969.0,27.797,27.8,27.256,27.238,1.0
838.0,968.0,27.819,27.8,27.256,27.235,1.0
840.0,962.0,27.91,27.822,27.256,27.235,1.0
842.0,962.0,27.91,27.822,27.278,27.235,1.0
844.0,967.0,27.91,27.8,27.278,27.233,1.0
846.0,989.0,27.91,27.71,27.278,27.224,1.0
848.0,972.0,27.888,27.779,27.144,27.221,1.0
850.0,965.0,27.91,27.8,27.256,27.22,1.0
852.0,965.0,27.953,27.8,27.256,27.22,1.0
854.0,965.0,27.953,27.8,27.256,27.219,1.0
856.0,964.0,27.953,27.8,27.234,27.219,1.0
858.0,970.0,27.884,27.779,27.256,27.217,1.0
860.0,992.0,27.975,27.688,27.256,27.207,1.0
862.0,968.0,27.975,27.779,27.212,27.206,1.0
864.0,962.0,28.019,27.8,27.234,27.207,1.0
866.0,962.0,28.063,27.8,27.234,27.207,1.0
868.0,962.0,28.063,27.8,27.234,27.208,1.0
870.0,961.0,28.019,27.8,27.144,27.209,1.0
872.0,961.0,27.997,27.8,27.256,27.209,1.0
874.0,961.0,27.997,27.8,27.234,27.21,1.0
876.0,955.0,27.975,27.822,27.256,27.212,1.0
878.0,949.0,27.91,27.844,27.256,27.216,1.0
880.0,954.0,27.888,27.822,27.278,27.218,1.0
882.0,948.0,27.844,27.844,27.256,27.221,1.0
884.0,948.0,27.8,27.844,27.278,27.224,1.0
886.0,948.0,27.688,27.844,27.278,27.227,1.0
888.0,948.0,27.644,27.844,27.278,27.23,1.0
890.0,948.0,27.735,27.844,27.299,27.232,1.0
892.0,953.0,27.713,27.822,27.321,27.232,1.0
894.0,964.0,27.6,27.779,27.321,27.229,1.0
896.0,958.0,27.67,27.8,27.321,27.227,1.0
898.0,963.0,27.691,27.779,27.299,27.224,1.0
900.0,963.0,27.644,27.779,27.299,27.221,1.0
902.0,968.0,27.757,27.757,27.278,27.217,1.0
904.0,990.0,27.666,27.666,27.278,27.205,1.0
906.0,972.0,27.757,27.735,27.234,27.201,1.0
908.0,971.0,27.71,27.735,27.256,27.197,1.0
910.0,965.0,27.822,27.757,27.234,27.195,1.0
912.0,965.0,27.844,27.757,27.122,27.193,1.0
914.0,970.0,27.844,27.735,27.212,27.189,1.0
916.0,970.0,27.866,27.735,27.212,27.186,1.0
918.0,969.0,27.888,27.735,27.212,27.184,1.0
920.0,969.0,27.91,27.735,27.212,27.181,1.0
922.0,968.0,27.931,27.735,27.212,27.179,1.0
924.0,968.0,27.931,27.735,27.212,27.177,1.0
926.0,962.0,27.953,27.757,27.122,27.177,1.0
928.0,962.0,27.975,27.757,27.212,27.177,1.0
930.0,961.0,27.862,27.757,27.212,27.177,1.0
932.0,961.0,27.862,27.757,27.212,27.177,1.0
934.0,961.0,27.953,27.757,27.191,27.177,1.0
936.0,961.0,27.931,27.757,27.191,27.177,1.0
938.0,966.0,27.84,27.735,27.191,27.175,1.0
940.0,966.0,27.931,27.735,27.191,27.173,1.0
942.0,960.0,27.91,27.757,27.191,27.173,1.0
944.0,959.0,27.888,27.757,27.212,27.174,1.0
946.0,953.0,27.866,27.779,27.212,27.176,1.0
948.0,953.0,27.753,27.779,27.212,27.178,1.0
950.0,953.0,27.822,27.779,27.212,27.18,1.0
952.0,981.0,27.844,27.666,27.122,27.172,1.0
954.0,963.0,27.822,27.735,27.212,27.17,1.0
956.0,957.0,27.822,27.757,27.234,27.171,1.0
958.0,952.0,27.822,27.779,27.234,27.173,1.0
960.0,951.0,27.8,27.779,27.212,27.175,1.0
962.0,969.0,27.779,27.71,27.256,27.172,1.0
964.0,951.0,27.757,27.779,27.165,27.174,1.0
966.0,945.0,27.666,27.8,27.256,27.178,1.0
968.0,968.0,27.688,27.71,27.278,27.174,1.0
970.0,944.0,27.757,27.8,27.256,27.178,1.0
972.0,944.0,27.779,27.8,27.256,27.181,1.0
974.0,944.0,27.757,27.8,27.278,27.185,1.0
976.0,944.0,27.713,27.8,27.299,27.188,1.0
978.0,949.0,27.648,27.779,27.278,27.188,1.0
980.0,949.0,27.648,27.779,27.278,27.189,1.0
982.0,955.0,27.648,27.757,27.299,27.188,1.0
984.0,983.0,27.626,27.644,27.299,27.177,1.0
986.0,987.0,27.604,27.622,27.278,27.166,1.0
988.0,964.0,27.604,27.713,27.278,27.163,1.0
990.0,986.0,27.691,27.622,27.299,27.153,1.0
992.0,969.0,27.782,27.691,27.278,27.15,1.0
994.0,968.0,27.713,27.691,27.299,27.147,1.0
996.0,962.0,27.757,27.713,27.209,27.146,1.0
998.0,968.0,27.757,27.691,27.299,27.143,1.0
1000.0,984.0,27.735,27.622,27.278,27.135,1.0
1002.0,961.0,27.713,27.713,27.256,27.136,1.0
1004.0,961.0,27.735,27.713,27.256,27.136,1.0
1006.0,961.0,27.757,27.713,27.256,27.136,1.0
1008.0,960.0,27.713,27.713,27.256,27.136,1.0
1010.0,954.0,27.713,27.735,27.165,27.138,1.0
1012.0,949.0,27.713,27.757,27.256,27.142,1.0
1014.0,949.0,27.691,27.757,27.256,27.145,1.0
1016.0,949.0,27.691,27.757,27.165,27.149,1.0
1018.0,948.0,27.67,27.757,27.256,27.151,1.0
1020.0,954.0,27.648,27.735,27.187,27.152,1.0
1022.0,954.0,27.648,27.735,27.256,27.152,1.0
1024.0,959.0,27.648,27.713,27.256,27.151,1.0
