temps,ACTU,MILIEU,LASER
24.29,25.94,26.12,25.85
24.44,25.94,26.12,25.85
24.59,25.94,26.12,25.94
24.74,25.94,26.12,25.94
24.89,25.94,26.12,25.85
25.04,25.94,26.12,25.85
25.19,25.94,26.12,25.85
25.34,25.94,26.12,25.85
25.49,25.94,26.12,25.85
25.64,25.94,26.12,25.85
25.79,25.94,26.12,25.85
25.94,25.94,26.12,25.85
26.09,26.03,26.12,25.85
26.24,25.94,26.12,25.85
26.39,25.94,26.12,25.85
26.54,25.94,26.12,25.85
26.69,25.94,26.12,25.94
26.84,25.94,26.12,25.85
26.99,25.94,26.12,25.85
27.14,25.94,26.12,25.85
27.29,25.94,26.12,25.85
27.44,25.94,26.12,25.85
27.59,25.94,26.12,25.85
27.74,25.94,26.12,25.85
27.89,26.03,26.12,25.85
28.04,25.94,26.12,25.85
28.19,25.94,26.12,25.85
28.34,25.94,26.12,25.85
28.49,25.94,26.12,25.85
28.64,25.94,26.12,25.94
28.79,25.94,26.12,25.85
28.94,25.85,26.12,25.85
29.09,25.94,26.12,25.85
29.24,25.94,26.12,25.85
29.39,25.94,26.12,25.85
29.54,25.94,26.12,25.85
29.69,25.94,26.12,25.85
29.84,25.94,26.12,25.76
29.99,25.94,26.12,25.85
30.14,25.94,26.12,25.85
30.29,25.94,26.03,25.85
30.44,25.94,26.12,25.94
30.59,25.94,26.03,25.85
30.74,25.94,26.12,25.85
30.89,25.94,26.12,25.85
31.04,25.94,26.12,25.76
31.19,25.94,26.12,25.85
31.34,25.94,26.12,25.85
31.49,25.94,26.12,25.85
31.64,25.94,26.12,25.85
31.79,25.94,26.12,25.85
31.94,25.94,26.03,25.85
32.09,25.94,26.12,25.85
32.24,25.94,26.12,25.85
32.39,25.94,26.03,25.85
32.54,25.94,26.12,25.85
32.69,25.94,26.12,25.85
32.84,25.85,26.12,25.85
32.99,25.94,26.12,25.85
33.14,25.94,26.03,25.85
33.29,25.94,26.12,25.85
33.44,25.94,26.12,25.76
33.59,25.94,26.12,25.85
33.74,25.94,26.03,25.85
33.89,25.85,26.12,25.85
34.04,25.85,26.12,25.85
34.19,25.94,26.12,25.76
34.34,25.94,26.12,25.85
34.49,25.94,26.12,25.85
34.64,25.94,26.12,25.94
34.79,25.94,26.12,25.85
34.94,25.94,26.12,25.85
35.09,25.94,26.12,25.85
35.24,25.94,26.12,25.85
35.39,25.94,26.12,25.85
35.54,25.94,26.12,25.85
35.69,26.03,26.12,25.85
35.84,26.03,26.12,25.85
35.99,26.03,26.12,25.85
36.14,26.03,26.03,25.85
36.29,26.12,26.03,25.85
36.44,26.12,26.12,25.85
36.59,26.21,26.12,25.85
36.74,26.21,26.03,25.76
36.89,26.30,26.12,25.85
37.04,26.30,26.12,25.85
37.19,26.30,26.12,25.85
37.34,26.39,26.12,25.76
37.49,26.39,26.12,25.85
37.64,26.39,26.12,25.85
37.79,26.48,26.12,25.85
37.94,26.57,26.12,25.76
38.09,26.57,26.12,25.85
38.24,26.66,26.12,25.94
38.39,26.57,26.12,25.85
38.54,26.66,26.12,25.85
38.69,26.75,26.12,25.85
38.84,26.75,26.12,25.85
38.99,26.75,26.12,25.85
39.14,26.84,26.12,25.85
39.29,26.84,26.12,25.85
39.44,26.93,26.12,25.85
39.59,26.93,26.12,25.85
39.74,26.93,26.12,25.85
39.89,27.02,26.12,25.85
40.04,27.02,26.12,25.85
40.19,27.02,26.03,25.85
40.34,27.11,26.12,25.85
40.49,27.11,26.12,25.85
40.64,27.20,26.12,25.85
40.79,27.20,26.12,25.85
40.94,27.29,26.12,25.85
41.09,27.29,26.12,25.85
41.24,27.29,26.12,25.85
41.39,27.29,26.12,25.85
41.54,27.38,26.12,25.85
41.69,27.29,26.12,25.76
41.84,27.47,26.12,25.85
41.99,27.47,26.12,25.76
42.14,27.47,26.12,25.85
42.29,27.47,26.12,25.85
42.44,27.56,26.12,25.85
42.59,27.56,26.12,25.85
42.74,27.56,26.12,25.85
42.89,27.56,26.12,25.85
43.04,27.65,26.12,25.76
43.19,27.65,26.21,25.85
43.34,27.65,26.12,25.85
43.49,27.65,26.21,25.85
43.64,27.74,26.21,25.85
43.79,27.74,26.12,25.76
43.94,27.74,26.21,25.76
44.09,27.84,26.21,25.85
44.24,27.74,26.21,25.76
44.39,27.84,26.21,25.76
44.54,27.93,26.21,25.85
44.69,27.93,26.21,25.85
44.84,27.93,26.21,25.76
44.99,27.93,26.21,25.76
45.13,28.02,26.21,25.85
45.29,28.02,26.21,25.85
45.44,28.02,26.21,25.76
45.59,28.02,26.21,25.85
45.74,28.02,26.21,25.85
45.88,28.02,26.21,25.76
46.04,28.11,26.21,25.85
46.19,28.11,26.21,25.76
46.34,28.11,26.21,25.85
46.49,28.20,26.21,25.85
46.63,28.20,26.30,25.85
46.79,28.20,26.30,25.76
46.94,28.20,26.21,25.85
47.09,28.29,26.30,25.85
47.24,28.20,26.30,25.76
47.38,28.20,26.30,25.76
47.54,28.29,26.30,25.76
47.69,28.29,26.30,25.85
47.84,28.29,26.30,25.85
47.98,28.38,26.30,25.85
48.13,28.38,26.30,25.76
48.28,28.38,26.30,25.85
48.44,28.38,26.30,25.76
48.58,28.47,26.39,25.85
48.74,28.47,26.39,25.76
48.88,28.47,26.30,25.85
49.03,28.47,26.30,25.85
49.18,28.47,26.39,25.76
49.33,28.47,26.39,25.85
49.48,28.57,26.30,25.85
49.63,28.57,26.39,25.85
49.78,28.57,26.39,25.85
49.93,28.57,26.39,25.85
50.08,28.66,26.39,25.76
50.23,28.66,26.39,25.85
50.38,28.66,26.39,25.85
50.53,28.57,26.39,25.85
50.68,28.66,26.48,25.76
50.83,28.66,26.39,25.85
50.98,28.66,26.39,25.85
51.13,28.75,26.48,25.85
51.28,28.75,26.48,25.85
51.43,28.75,26.48,25.85
51.58,28.75,26.48,25.85
51.73,28.84,26.48,25.85
51.88,28.84,26.48,25.85
52.03,28.84,26.48,25.85
52.18,28.84,26.48,25.85
52.33,28.84,26.48,25.85
52.48,28.84,26.48,25.85
52.63,28.84,26.48,25.85
52.78,28.93,26.57,25.85
52.93,28.93,26.48,25.85
53.08,28.93,26.57,25.85
53.23,28.93,26.57,25.76
53.38,28.93,26.57,25.85
53.53,29.02,26.57,25.85
53.68,28.93,26.57,25.85
53.83,29.02,26.57,25.85
53.98,29.02,26.57,25.85
54.13,29.02,26.57,25.85
54.28,29.02,26.57,25.85
54.43,29.02,26.57,25.85
54.58,29.12,26.57,25.85
54.73,29.12,26.57,25.85
54.88,29.12,26.57,25.85
55.03,29.12,26.66,25.85
55.18,29.12,26.66,25.85
55.33,29.12,26.66,25.85
55.48,29.21,26.66,25.85
55.63,29.12,26.66,25.85
55.78,29.21,26.66,25.85
55.93,29.21,26.66,25.85
56.08,29.21,26.66,25.94
56.23,29.21,26.66,25.94
56.38,29.21,26.66,25.85
56.53,29.30,26.66,25.85
56.68,29.30,26.75,25.94
56.83,29.30,26.75,25.85
56.98,29.30,26.75,25.85
57.13,29.30,26.75,25.85
57.28,29.30,26.66,25.85
57.43,29.30,26.75,25.94
57.58,29.30,26.75,25.85
57.73,29.39,26.75,25.85
57.88,29.39,26.75,25.94
58.03,29.39,26.75,25.85
58.18,29.39,26.75,25.85
58.33,29.39,26.75,25.85
58.48,29.39,26.84,25.94
58.63,29.49,26.84,25.94
58.78,29.39,26.84,25.94
58.93,29.49,26.84,25.94
59.08,29.49,26.84,25.94
59.23,29.49,26.84,25.94
59.38,29.49,26.84,25.85
59.53,29.49,26.84,25.94
59.68,29.58,26.84,25.94
59.83,29.58,26.84,25.94
59.98,29.58,26.93,25.94
60.13,29.58,26.93,25.94
60.28,29.58,26.84,25.94
60.43,29.58,26.93,25.94
60.58,29.58,26.93,25.94
60.73,29.67,26.93,25.94
60.88,29.67,26.93,25.94
61.03,29.67,26.93,25.94
61.18,29.67,26.93,25.94
61.33,29.67,26.93,25.94
61.48,29.67,26.93,25.94
61.63,29.67,26.93,25.94
61.78,29.67,26.93,26.03
61.93,29.76,27.02,26.03
62.08,29.67,26.93,26.03
62.23,29.76,27.02,26.03
62.38,29.76,26.93,26.03
62.53,29.76,27.02,26.03
62.68,29.76,27.02,26.03
62.83,29.86,27.02,26.03
62.98,29.86,27.02,26.03
63.13,29.86,27.02,26.03
63.28,29.86,27.02,26.03
63.43,29.86,27.02,26.03
63.58,29.86,27.02,26.03
63.73,29.95,27.11,26.03
63.88,29.86,27.02,26.03
64.03,29.95,27.11,26.03
64.18,29.95,27.11,26.03
64.33,29.95,27.11,26.03
64.48,29.95,27.11,26.03
64.63,29.95,27.11,26.03
64.78,29.95,27.11,26.03
64.93,30.04,27.11,26.03
65.08,30.04,27.11,26.03
65.23,29.95,27.20,26.03
65.38,30.04,27.11,26.03
65.53,30.04,27.11,26.12
65.68,30.04,27.20,26.12
65.83,30.04,27.20,26.03
65.98,30.04,27.20,26.03
66.13,30.04,27.20,26.03
66.28,30.04,27.20,26.12
66.43,30.13,27.20,26.12
66.58,30.04,27.20,26.03
66.73,30.13,27.20,26.12
66.88,30.13,27.20,26.12
67.03,30.13,27.20,26.12
67.18,30.13,27.29,26.12
