temps,ACTU,MILIEU,LASER,LASER_ESTIME,TENSION_ACTU,TENSION_MILIEU,TENSION_LASER,DUTY CYCLE,STABILITE
376.0,33.089,30.74,29.846,29.762,2.071,2.192,2.239,1242.0,1.0
378.0,33.043,30.789,29.894,29.765,2.073,2.19,2.236,1230.0,1.0
380.0,33.019,30.789,29.823,29.768,2.075,2.19,2.24,1230.0,1.0
382.0,32.946,30.789,29.938,29.771,2.078,2.19,2.234,1231.0,1.0
384.0,32.946,30.789,29.961,29.773,2.078,2.19,2.233,1231.0,1.0
386.0,32.97,30.789,30.054,29.776,2.077,2.19,2.228,1232.0,1.0
388.0,33.043,30.811,29.961,29.78,2.073,2.188,2.233,1226.0,1.0
390.0,33.066,30.811,29.983,29.783,2.072,2.188,2.232,1227.0,1.0
392.0,33.043,30.717,29.983,29.779,2.073,2.193,2.232,1252.0,1.0
394.0,32.996,30.837,29.823,29.785,2.076,2.187,2.24,1221.0,1.0
396.0,32.97,30.766,29.868,29.784,2.077,2.191,2.238,1240.0,1.0
398.0,33.066,30.721,29.938,29.779,2.072,2.193,2.234,1252.0,1.0
400.0,32.946,30.699,29.987,29.773,2.078,2.194,2.232,1258.0,1.0
402.0,33.043,30.699,29.894,29.768,2.073,2.194,2.236,1258.0,1.0
404.0,33.089,30.721,29.872,29.765,2.071,2.193,2.238,1252.0,1.0
406.0,33.135,30.744,29.894,29.764,2.069,2.192,2.236,1246.0,1.0
408.0,33.158,30.766,29.987,29.766,2.068,2.191,2.232,1241.0,1.0
410.0,33.181,30.766,29.916,29.767,2.066,2.191,2.235,1241.0,1.0
412.0,33.181,30.766,29.916,29.768,2.066,2.191,2.235,1242.0,1.0
414.0,33.204,30.766,29.823,29.769,2.065,2.191,2.24,1242.0,1.0
416.0,33.131,30.766,29.894,29.77,2.069,2.191,2.236,1243.0,1.0
418.0,33.085,30.789,29.894,29.772,2.071,2.19,2.236,1237.0,1.0
420.0,33.158,30.811,29.823,29.777,2.068,2.188,2.24,1232.0,1.0
422.0,33.181,30.74,29.868,29.774,2.066,2.192,2.238,1251.0,1.0
424.0,33.231,30.789,29.938,29.777,2.064,2.19,2.234,1239.0,1.0
